onset	duration	trial_type	feedback_source_volume	cen_signal	dmn_signal	pda	ball_y_position	cen_hit	dmn_hit	scale_factor	participant	run	feedback_on	slider_noting	slider_ballcheck	slider_difficulty	slider_calm
47.38820719718933	0	feedback	38	-0.022308	0.029984	-0.052292000000000005	0.205069126027127	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
48.59811997413635	0	feedback	39	0.086563	0.03507	0.051493000000000004	-0.1058192653989638	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
49.806097984313965	0	feedback	40	0.080275	0.01462	0.065655	0.1954550036857822	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
50.9847674369812	0	feedback	41	0.078208	0.025254	0.052954	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
52.19516921043396	0	feedback	42	0.098408	0.019275	0.079133	0.3201938031111501	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
53.38174819946289	0	feedback	43	0.039577	-0.002107	0.041684	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
54.61511826515198	0	feedback	44	0.081304	0.068781	0.012523000000000006	0.2565066316471399	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
55.80620455741882	0	feedback	45	0.103976	0.071491	0.032485	0.330576150230147	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
57.00206446647644	0	feedback	46	0.054391	0.029222	0.025169	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
58.21105170249939	0	feedback	47	0.064984	0.01692	0.048063999999999996	0.1526074350707368	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
59.427645206451416	0	feedback	48	0.056702	0.112193	-0.055491	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
60.62861609458923	0	feedback	49	0.032395	-0.005781	0.038176	-0.3271322877084608	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
61.80413222312927	0	feedback	50	0.068911	0.104995	-0.036084000000000005	-0.1081212727091211	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
62.99140381813049	0	feedback	51	0.018964	0.057299	-0.038335	-0.3205941871166533	0	1	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
64.21072673797607	0	feedback	52	0.058364	0.093616	-0.035252000000000006	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
65.39800381660461	0	feedback	53	0.115364	0.027199	0.088165	-0.2057620574199771	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
66.59886026382446	0	feedback	54	0.034791	0.02216	0.012631000000000003	0.3147258287108413	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
67.85848999023438	0	feedback	55	0.094341	0.045103	0.049238	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
69.00889945030212	0	feedback	56	0.066285	0.000288	0.065997	0.2857553195802811	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
70.19985222816467	0	feedback	57	0.036228	0.031292	0.004936000000000003	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
71.38274049758911	0	feedback	58	0.082259	-0.004222	0.086481	0.0288863117794012	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
72.59469556808472	0	feedback	59	0.068401	0.045353	0.023048000000000006	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
73.825368642807	0	feedback	60	0.095753	0.077264	0.018489000000000005	0.1426925711925415	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
74.9915292263031	0	feedback	61	0.104777	0.067692	0.03708499999999999	0.2487873719856461	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
76.21575999259949	0	feedback	62	0.027638	-0.048406	0.076044	0.0	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
77.39213538169861	0	feedback	63	0.018543	0.02834	-0.009797	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
78.62089323997498	0	feedback	64	0.026064	0.034875	-0.008811000000000003	-0.0599738104652823	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
79.8074004650116	0	feedback	65	0.016736	-0.025879	0.042615	-0.1126510426956781	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
81.00617146492004	0	feedback	66	0.078825	0.072576	0.0062490000000000046	0.1397581530688645	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
82.20749831199646	0	feedback	67	0.111589	0.03214	0.07944899999999999	0.1775783311000333	1	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
83.394615650177	0	feedback	68	0.05923	0.037484	0.021745999999999995	0.0	0	0	10	sub-sub-process-rehearse	2	No Feedback	n/a	n/a	n/a	n/a
