volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
57,10,70.19985222816467,71.39985342025757,0.036228,0.031292,feedback,8,4,False,0.0,0.3333333333333333,-0.3333333333333333
58,10,71.38274049758911,72.58274145126343,0.082259,-0.004222,feedback,8,4,False,0.028886311779401257,0.3333333333333333,-0.3333333333333333
59,10,72.59469556808472,73.79469676017762,0.068401,0.045353,feedback,9,4,False,0.0,0.3333333333333333,-0.3333333333333333
60,10,73.825368642807,75.0253698348999,0.095753,0.077264,feedback,9,4,False,0.14269257119254156,0.3333333333333333,-0.3333333333333333
61,10,74.9915292263031,76.19153017997742,0.104777,0.067692,feedback,9,4,False,0.24878737198564618,0.3333333333333333,-0.3333333333333333
62,10,76.21575999259949,77.41576118469239,0.027638,-0.048406,feedback,10,4,False,0.0,0.3333333333333333,-0.3333333333333333
63,10,77.39213538169861,78.5921365737915,0.018543,0.02834,feedback,11,4,False,0.0,0.3333333333333333,-0.3333333333333333
64,10,78.62089323997498,79.8208941936493,0.026064,0.034875,feedback,11,4,False,-0.059973810465282315,0.3333333333333333,-0.3333333333333333
65,10,79.8074004650116,81.00740189552307,0.016736,-0.025879,feedback,11,4,False,-0.11265104269567812,0.3333333333333333,-0.3333333333333333
66,10,81.00617146492004,82.20617265701294,0.078825,0.072576,feedback,11,4,False,0.13975815306886458,0.3333333333333333,-0.3333333333333333
67,10,82.20749831199646,83.4075002193451,0.111589,0.03214,feedback,11,4,False,0.17757833110003338,0.3333333333333333,-0.3333333333333333
68,10,83.394615650177,84.5946168422699,0.05923,0.037484,feedback,12,4,False,0.0,0.3333333333333333,-0.3333333333333333
69,10,84.63514447212219,85.83514566421509,0.066556,0.071807,feedback,12,4,False,0.1333630674023631,0.3333333333333333,-0.3333333333333333
70,10,85.79270315170288,86.99270434379578,0.01324,0.011282,feedback,12,4,False,0.10261143994303197,0.3333333333333333,-0.3333333333333333
71,10,87.01041436195374,88.21041555404663,0.090898,-0.024874,feedback,12,4,False,0.11440180558317319,0.3333333333333333,-0.3333333333333333
72,10,88.20063352584839,89.40063447952271,0.069406,0.079789,feedback,13,4,False,0.0,0.3333333333333333,-0.3333333333333333
73,10,89.4212498664856,90.6212510585785,0.066121,0.010087,feedback,13,4,False,-0.06402262596831589,0.3333333333333333,-0.3333333333333333
74,10,90.63689136505127,91.83689231872559,-0.009356,-0.012545,feedback,13,4,False,0.27596236086486475,0.3333333333333333,-0.3333333333333333
75,10,91.82912707328796,93.02912802696228,-0.015403,0.034827,feedback,13,4,False,0.2948508490801685,0.3333333333333333,-0.3333333333333333
76,10,92.97998571395874,94.17998666763306,0.024127,-0.006773,feedback,13,4,False,0.006687519149855465,0.3333333333333333,-0.3333333333333333
77,10,94.27295517921448,95.47295637130738,0.062302,0.015864,feedback,13,4,False,0.1977780290794924,0.3333333333333333,-0.3333333333333333
