id,run,feedback_on,question_text,response,rt
sub-kym,1,Feedback,How often were you using the mental noting practice?,nan,nan
sub-kym,1,Feedback,How often did you check the position of the ball?,nan,nan
sub-kym,1,Feedback,How difficult was it to apply mental noting,nan,nan
sub-kym,1,Feedback,How calm do you feel right now?,nan,nan
