volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,12.5,0.006749868392944336,1.2067510604858398,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,12.5,0.012200355529785156,1.2122013092041015,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,12.5,0.028851747512817383,1.2288527011871337,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,12.5,0.045710086822509766,1.245710802078247,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,12.5,0.06219029426574707,1.2621910095214843,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,12.5,0.0788414478302002,1.2788421630859375,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,12.5,0.0955197811126709,1.2955204963684082,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,12.5,0.11218810081481934,1.3121888160705566,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,12.5,0.12884926795959473,1.328849983215332,0.0,0.0,baseline,0,0,nan,nan,nan,nan
9,12.5,0.14551377296447754,1.345514726638794,0.0,0.0,baseline,0,0,nan,nan,nan,nan
10,12.5,0.1621840000152588,1.3621849536895752,0.0,0.0,baseline,0,0,nan,nan,nan,nan
11,12.5,0.1788473129272461,1.3788480281829834,0.0,0.0,baseline,0,0,nan,nan,nan,nan
12,12.5,0.19552159309387207,1.3955223083496093,0.0,0.0,baseline,0,0,nan,nan,nan,nan
13,12.5,0.21218514442443848,1.4121858596801757,0.0,0.0,baseline,0,0,nan,nan,nan,nan
14,12.5,0.22884821891784668,1.428848934173584,0.0,0.0,baseline,0,0,nan,nan,nan,nan
15,12.5,0.24552226066589355,1.4455229759216308,0.0,0.0,baseline,0,0,nan,nan,nan,nan
16,12.5,0.26219606399536133,1.4621967792510986,0.0,0.0,baseline,0,0,nan,nan,nan,nan
17,12.5,0.278850793838501,1.4788515090942382,0.0,0.0,baseline,0,0,nan,nan,nan,nan
18,12.5,0.2955174446105957,1.495518159866333,0.0,0.0,baseline,0,0,nan,nan,nan,nan
19,12.5,0.3126373291015625,1.5126380443572998,0.0,0.0,baseline,0,0,nan,nan,nan,nan
20,12.5,0.32885193824768066,1.528852653503418,0.0,0.0,baseline,0,0,nan,nan,nan,nan
21,12.5,0.3455226421356201,1.5455233573913574,0.0,0.0,baseline,0,0,nan,nan,nan,nan
22,12.5,0.36220383644104004,1.5622045516967773,0.0,0.0,baseline,0,0,nan,nan,nan,nan
23,12.5,0.3788442611694336,1.5788449764251709,0.0,0.0,baseline,0,0,nan,nan,nan,nan
24,12.5,0.3955059051513672,1.5955066204071044,0.0,0.0,baseline,0,0,nan,nan,nan,nan
25,12.5,0.41217732429504395,1.6121780395507812,0.0,0.0,baseline,0,0,nan,nan,nan,nan
26,12.5,0.42885446548461914,1.6288551807403564,0.0,0.0,baseline,0,0,nan,nan,nan,nan
27,12.5,0.4455287456512451,1.6455294609069824,0.0,0.0,baseline,0,0,nan,nan,nan,nan
28,12.5,0.4621849060058594,1.6621856212615966,0.0,0.0,baseline,0,0,nan,nan,nan,nan
29,12.5,0.4788539409637451,1.6788546562194824,0.0,0.0,baseline,0,0,nan,nan,nan,nan
30,12.5,0.4955167770385742,1.6955174922943115,0.0,0.0,baseline,0,0,nan,nan,nan,nan
31,12.5,0.5121910572052002,1.7121917724609375,0.0,0.0,baseline,0,0,nan,nan,nan,nan
32,12.5,0.5288517475128174,1.7288524627685546,0.0,0.0,baseline,0,0,nan,nan,nan,nan
33,12.5,0.5455234050750732,1.7455241203308105,0.0,0.0,baseline,0,0,nan,nan,nan,nan
34,12.5,0.5621986389160156,1.7621993541717529,0.0,0.0,baseline,0,0,nan,nan,nan,nan
35,12.5,0.5788521766662598,1.778852653503418,0.0,0.0,baseline,0,0,nan,nan,nan,nan
36,12.5,0.5955214500427246,1.7955221652984619,0.0,0.0,baseline,0,0,nan,nan,nan,nan
37,12.5,0.6121871471405029,1.8121878623962402,0.0,0.0,baseline,0,0,nan,nan,nan,nan
38,12.5,0.6288549900054932,1.8288557052612304,0.0,0.0,baseline,0,0,nan,nan,nan,nan
39,12.5,0.6455185413360596,1.8455192565917968,0.0,0.0,baseline,0,0,nan,nan,nan,nan
