volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,9.375,9.985543251037598,11.185544681549072,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,9.375,10.053290128707886,11.25329132080078,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,9.375,10.069133758544922,11.26913685798645,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,9.375,10.085686683654785,11.28568787574768,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,9.375,10.118964433670044,11.318965625762939,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,9.375,10.13671875,11.336719942092895,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,9.375,10.152647495269775,11.35264892578125,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,9.375,10.169784784317017,11.369785976409911,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,9.375,10.186184406280518,11.386185598373412,-0.269177,-0.269177,baseline,0,0,nan,nan,nan,nan
9,9.375,11.103068828582764,12.303070497512817,0.565671,0.565668,baseline,0,0,nan,nan,nan,nan
10,9.375,12.302337408065796,13.50233860015869,0.715384,0.715387,baseline,0,0,nan,nan,nan,nan
11,9.375,13.51996660232544,14.719967794418334,0.661275,0.661268,baseline,0,0,nan,nan,nan,nan
12,9.375,14.719951629638672,15.919953060150146,-0.141061,-0.141053,baseline,0,0,nan,nan,nan,nan
13,9.375,15.919981479644775,17.11998267173767,0.363274,0.363327,baseline,0,0,nan,nan,nan,nan
14,9.375,17.136467456817627,18.33646864891052,0.49343,0.493459,baseline,0,0,nan,nan,nan,nan
15,9.375,18.33672261238098,19.536724042892455,0.567998,0.568015,baseline,0,0,nan,nan,nan,nan
16,9.375,19.53665781021118,20.736659240722656,0.29301,0.293029,baseline,0,0,nan,nan,nan,nan
17,9.375,20.735785245895386,21.93578667640686,0.575104,0.575094,baseline,0,0,nan,nan,nan,nan
18,9.375,21.953239679336548,23.153240871429443,0.108068,0.108033,baseline,0,0,nan,nan,nan,nan
19,9.375,23.153257846832275,24.35325903892517,0.607335,0.607375,baseline,0,0,nan,nan,nan,nan
20,9.375,24.35330319404602,25.553304386138915,0.470562,0.470544,baseline,0,0,nan,nan,nan,nan
21,9.375,25.57020854949951,26.770209503173827,0.238621,0.238657,baseline,0,0,nan,nan,nan,nan
