volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,7.5,10.584534168243408,11.784535360336303,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,7.5,10.601847648620605,11.8018488407135,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,7.5,10.61773157119751,11.817732763290405,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,7.5,10.6347336769104,11.834734869003295,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,7.5,10.652368307113647,11.852369737625121,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,7.5,10.668960094451904,11.868961763381957,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,7.5,10.684547901153564,11.88454909324646,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,7.5,10.703651666641235,11.90365285873413,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,7.5,10.71778154373169,11.917782497406005,0.0,0.311597,baseline,0,0,nan,nan,nan,nan
9,7.5,11.069537162780762,12.269538354873657,0.0,0.209132,baseline,0,0,nan,nan,nan,nan
10,7.5,12.268016338348389,13.468017530441283,0.0,-0.077712,baseline,0,0,nan,nan,nan,nan
11,7.5,13.484153747558594,14.684154939651489,0.0,0.03443,baseline,0,0,nan,nan,nan,nan
12,7.5,14.68743896484375,15.887440395355224,0.0,0.19335,baseline,0,0,nan,nan,nan,nan
13,7.5,15.885313510894775,17.085315656661987,0.0,-0.44345,baseline,0,0,nan,nan,nan,nan
14,7.5,17.101288318634033,18.301289749145507,0.0,-0.209476,baseline,0,0,nan,nan,nan,nan
15,7.5,18.304227590560913,19.504228782653808,0.0,-0.372471,baseline,0,0,nan,nan,nan,nan
16,7.5,19.501853704452515,20.70185489654541,0.0,-0.372644,baseline,0,0,nan,nan,nan,nan
17,7.5,20.70171809196472,21.901719522476196,0.0,-0.212752,baseline,0,0,nan,nan,nan,nan
18,7.5,21.90147089958191,23.101472091674804,0.0,0.030584,baseline,0,0,nan,nan,nan,nan
19,7.5,23.121021270751953,24.321023178100585,0.0,-0.043904,baseline,0,0,nan,nan,nan,nan
20,7.5,24.318180561065674,25.518182229995727,0.0,-0.188599,baseline,0,0,nan,nan,nan,nan
21,7.5,25.5180766582489,26.718077850341796,0.0,-0.001855,baseline,0,0,nan,nan,nan,nan
22,7.5,26.7377028465271,27.937704038619994,0.0,-0.034551,baseline,0,0,nan,nan,nan,nan
23,7.5,27.937625646591187,29.13762707710266,0.0,0.007179,baseline,0,0,nan,nan,nan,nan
24,7.5,29.13470768928528,30.334708881378173,0.0,-0.04418,baseline,0,0,nan,nan,nan,nan
25,7.5,30.33685827255249,31.536859464645385,0.0,0.181924,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
26,7.5,31.535500049591064,32.73550124168396,0.0,0.257102,feedback,0,0,False,-0.012735542276344316,0.3333333333333333,-0.3333333333333333
27,7.5,32.7546546459198,33.95465607643128,0.0,0.283924,feedback,0,0,False,-0.030983878081274754,0.3333333333333333,-0.3333333333333333
28,7.5,33.952073097229004,35.1520742893219,0.0,0.338312,feedback,0,0,False,-0.0508599038132769,0.3333333333333333,-0.3333333333333333
29,7.5,35.152164459228516,36.352165651321414,0.0,0.293092,feedback,0,0,False,-0.07454334733141976,0.3333333333333333,-0.3333333333333333
30,7.5,36.371089935302734,37.57109136581421,0.0,0.271258,feedback,0,0,False,-0.09534614636736105,0.3333333333333333,-0.3333333333333333
31,7.5,37.56875777244568,38.768759202957156,0.0,0.369446,feedback,0,0,False,-0.11433549206554583,0.3333333333333333,-0.3333333333333333
32,7.5,38.768481969833374,39.96848340034485,0.0,0.243921,feedback,0,0,False,-0.14019846315141876,0.3333333333333333,-0.3333333333333333
33,7.5,39.96894431114197,41.168945503234866,0.0,0.175192,feedback,0,0,False,-0.1572740892787467,0.3333333333333333,-0.3333333333333333
34,7.5,41.185216426849365,42.385217618942264,0.0,0.169883,feedback,0,0,False,-0.1697086967354663,0.3333333333333333,-0.3333333333333333
35,7.5,42.38539505004883,43.58539624214173,0.0,0.465604,feedback,0,0,False,-0.1816013119403449,0.3333333333333333,-0.3333333333333333
36,7.5,43.58826994895935,44.78827114105225,0.0,0.492821,feedback,0,0,False,-0.21419579879219064,0.3333333333333333,-0.3333333333333333
37,7.5,44.78598976135254,45.985991430282596,0.0,0.651544,feedback,0,0,False,-0.24869560464611926,0.3333333333333333,-0.3333333333333333
38,7.5,46.00485634803772,47.2048577785492,0.0,0.494147,feedback,0,0,False,-0.29494026125589795,0.3333333333333333,-0.3333333333333333
39,7.5,47.20494771003723,48.40494914054871,0.0,0.625588,feedback,0,0,False,-0.3295328933947516,0.3333333333333333,-0.3333333333333333
40,7.5,48.404858112335205,49.6048593044281,0.0,0.440285,feedback,0,1,False,0.0,0.3333333333333333,-0.3333333333333333
41,7.5,49.62163066864014,50.821632099151614,0.0,0.619602,feedback,0,1,False,-0.03125012069090801,0.3333333333333333,-0.3333333333333333
42,7.5,50.821614503860474,52.02161593437195,0.0,0.352377,feedback,0,1,False,-0.07462519745652162,0.3333333333333333,-0.3333333333333333
43,7.5,52.02169966697693,53.221701097488406,0.0,0.663903,feedback,0,1,False,-0.09929325763940743,0.3333333333333333,-0.3333333333333333
44,7.5,53.235387086868286,54.435388517379764,0.0,0.593788,feedback,0,1,False,-0.14641511933593598,0.3333333333333333,-0.3333333333333333
45,7.5,54.41870832443237,55.61870951652527,0.0,0.680878,feedback,0,1,False,-0.187405760771386,0.3333333333333333,-0.3333333333333333
46,7.5,55.63866209983826,56.838663291931155,0.0,0.774176,feedback,0,1,False,-0.23573245751504895,0.3333333333333333,-0.3333333333333333
47,7.5,56.838319540023804,58.0383207321167,0.0,0.788307,feedback,0,1,False,-0.2899284469245331,0.3333333333333333,-0.3333333333333333
48,7.5,58.03895902633667,59.23896045684815,0.0,0.608502,feedback,0,2,False,0.0,0.3333333333333333,-0.3333333333333333
49,7.5,59.23554515838623,60.43554635047913,0.0,0.459087,feedback,0,2,False,-0.04259802415426261,0.3333333333333333,-0.3333333333333333
50,7.5,60.452064990997314,61.65206618309021,0.0,0.335822,feedback,0,2,False,-0.07518265492212166,0.3333333333333333,-0.3333333333333333
51,7.5,61.65523076057434,62.85523195266724,0.0,0.476463,feedback,0,2,False,-0.09869178663825899,0.3333333333333333,-0.3333333333333333
52,7.5,62.85222673416138,64.05222792625428,0.0,0.802208,feedback,0,2,False,-0.13204645495917228,0.3333333333333333,-0.3333333333333333
53,7.5,64.05464172363281,65.25464315414429,0.0,0.59214,feedback,0,2,False,-0.1882048172336473,0.3333333333333333,-0.3333333333333333
54,7.5,65.27190399169922,66.47190589904785,0.0,0.281933,feedback,0,2,False,-0.23023315448318907,0.3333333333333333,-0.3333333333333333
55,7.5,66.46896362304688,67.66896481513977,0.0,0.188386,feedback,0,2,False,-0.24996980077832692,0.3333333333333333,-0.3333333333333333
56,7.5,67.68575406074524,68.88575525283814,0.0,0.514651,feedback,0,2,False,-0.2633408791400183,0.3333333333333333,-0.3333333333333333
57,7.5,68.88852620124817,70.08852763175965,0.0,0.586238,feedback,0,2,False,-0.29936888846293935,0.3333333333333333,-0.3333333333333333
58,7.5,70.09122228622437,71.29122347831726,0.0,0.230849,feedback,0,3,False,0.0,0.3333333333333333,-0.3333333333333333
59,7.5,71.28864216804504,72.48864336013794,0.0,0.272497,feedback,0,3,False,-0.01616052416916849,0.3333333333333333,-0.3333333333333333
60,7.5,72.48636221885681,73.68636341094971,0.0,0.421972,feedback,0,3,False,-0.03523660573991781,0.3333333333333333,-0.3333333333333333
61,7.5,73.68646502494812,74.88646621704102,0.0,0.264693,feedback,0,3,False,-0.06477664578649507,0.3333333333333333,-0.3333333333333333
62,7.5,74.90230536460876,76.10230655670166,0.0,0.229442,feedback,0,3,False,-0.08356376820955858,0.3333333333333333,-0.3333333333333333
63,7.5,76.10523462295532,77.30523581504822,0.0,0.148809,feedback,0,3,False,-0.0996257957098825,0.3333333333333333,-0.3333333333333333
64,7.5,77.30266666412354,78.50266785621643,0.0,0.109986,feedback,0,3,False,-0.11004313102902985,0.3333333333333333,-0.3333333333333333
65,7.5,78.52214574813843,79.72214694023133,0.0,-0.04477,feedback,0,3,False,-0.11784961041013622,0.3333333333333333,-0.3333333333333333
66,7.5,79.71922254562378,80.91922397613526,0.0,-0.012449,feedback,0,3,False,-0.11471549821102048,0.3333333333333333,-0.3333333333333333
67,7.5,80.92194843292236,82.12194962501526,0.0,0.313007,feedback,0,3,False,-0.1138440092057317,0.3333333333333333,-0.3333333333333333
68,7.5,82.1220190525055,83.32202024459839,0.0,0.269401,feedback,0,3,False,-0.1357559827842134,0.3333333333333333,-0.3333333333333333
69,7.5,83.31916952133179,84.51917071342469,0.0,0.352064,feedback,0,3,False,-0.15461532968066183,0.3333333333333333,-0.3333333333333333
70,7.5,84.53619146347046,85.73619265556336,0.0,0.318905,feedback,0,3,False,-0.17960378600082724,0.3333333333333333,-0.3333333333333333
71,7.5,85.73585438728333,86.93585557937622,0.0,0.13294,feedback,0,3,False,-0.20192864753442127,0.3333333333333333,-0.3333333333333333
72,7.5,86.93893003463745,88.13893122673035,0.0,0.279619,feedback,0,3,False,-0.2112350776382956,0.3333333333333333,-0.3333333333333333
