volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,7.5,10.38564920425415,11.585650396347045,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,7.5,10.401375770568848,11.601377201080322,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,7.5,10.419170141220093,11.619171333312988,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,7.5,10.434632778167725,11.63463397026062,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,7.5,10.452393054962158,11.652394247055053,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,7.5,10.468004703521729,11.668007326126098,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,7.5,10.487002611160278,11.687004041671752,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,7.5,10.501269817352295,11.701272439956664,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,7.5,10.520628929138184,11.720630121231078,0.177708,0.177708,baseline,0,0,nan,nan,nan,nan
9,7.5,11.034764766693115,12.23476595878601,0.250372,0.250444,baseline,0,0,nan,nan,nan,nan
10,7.5,12.235066413879395,13.435067844390868,0.772544,0.772531,baseline,0,0,nan,nan,nan,nan
11,7.5,13.434645891189575,14.634647321701049,0.805567,0.805043,baseline,0,0,nan,nan,nan,nan
12,7.5,14.654273509979248,15.854274702072143,0.352413,0.352353,baseline,0,0,nan,nan,nan,nan
13,7.5,15.854117393493652,17.054118585586547,0.487374,0.486581,baseline,0,0,nan,nan,nan,nan
14,7.5,17.05142879486084,18.251429986953735,0.293465,0.293071,baseline,0,0,nan,nan,nan,nan
15,7.5,18.25189232826233,19.451893520355224,0.305469,0.304983,baseline,0,0,nan,nan,nan,nan
16,7.5,19.471073150634766,20.67107481956482,0.633821,0.633897,baseline,0,0,nan,nan,nan,nan
17,7.5,20.67114496231079,21.871146154403686,0.359088,0.358598,baseline,0,0,nan,nan,nan,nan
18,7.5,21.86788511276245,23.067886543273925,0.52409,0.521964,baseline,0,0,nan,nan,nan,nan
19,7.5,23.068641185760498,24.26864356994629,0.267212,0.267524,baseline,0,0,nan,nan,nan,nan
20,7.5,24.284587621688843,25.484589052200317,0.338963,0.338809,baseline,0,0,nan,nan,nan,nan
21,7.5,25.487578868865967,26.68758029937744,0.391027,0.390572,baseline,0,0,nan,nan,nan,nan
22,7.5,26.68528938293457,27.885290813446044,0.328904,0.329042,baseline,0,0,nan,nan,nan,nan
23,7.5,27.885380506515503,29.085381698608398,0.453195,0.453701,baseline,0,0,nan,nan,nan,nan
24,7.5,29.10146713256836,30.301468563079833,0.174837,0.175024,baseline,0,0,nan,nan,nan,nan
25,7.5,30.301992416381836,31.50199360847473,0.407005,0.408005,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
26,7.5,31.5025532245636,32.7025544166565,0.483017,0.483132,feedback,0,0,False,-7.001144886016847e-05,0.3333333333333333,-0.3333333333333333
27,7.5,32.70185136795044,33.90185256004334,0.390945,0.391776,feedback,0,0,False,-7.806276547908978e-05,0.3333333333333333,-0.3333333333333333
28,7.5,33.91844129562378,35.11844272613526,0.370901,0.371279,feedback,0,0,False,-0.00013705032828748587,0.3333333333333333,-0.3333333333333333
29,7.5,35.12170767784119,36.321708869934085,0.581271,0.5825,feedback,0,0,False,-0.00016351465595663172,0.3333333333333333,-0.3333333333333333
30,7.5,36.318523645401,37.5185248374939,0.4189,0.420354,feedback,0,0,False,-0.0002495587266057817,0.3333333333333333,-0.3333333333333333
31,7.5,37.51868510246277,38.71868629455567,0.634423,0.635495,feedback,0,0,False,-0.00035135537324846764,0.3333333333333333,-0.3333333333333333
32,7.5,38.7380793094635,39.9380805015564,0.472854,0.473758,feedback,0,0,False,-0.0004274500391096028,0.3333333333333333,-0.3333333333333333
33,7.5,39.93527817726135,41.13527960777283,0.680316,0.681242,feedback,0,0,False,-0.000490740388879198,0.3333333333333333,-0.3333333333333333
34,7.5,41.13601875305176,42.336019945144656,0.54589,0.547821,feedback,0,0,False,-0.0005555709905237109,0.3333333333333333,-0.3333333333333333
35,7.5,42.35198426246643,43.55198545455933,0.621023,0.622229,feedback,0,0,False,-0.0006926407664358756,0.3333333333333333,-0.3333333333333333
36,7.5,43.55209183692932,44.75209302902222,0.649887,0.650987,feedback,0,0,False,-0.0007770745737612428,0.3333333333333333,-0.3333333333333333
37,7.5,44.75495791435242,45.954959106445315,0.80862,0.810209,feedback,0,0,False,-0.0008540871675074248,0.3333333333333333,-0.3333333333333333
38,7.5,45.952641248703,47.1526424407959,0.656192,0.658016,feedback,0,0,False,-0.0009653353597462302,0.3333333333333333,-0.3333333333333333
