volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,10,10.685634851455688,11.88563675880432,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,10,10.702084064483643,11.902085494995116,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,10,10.735524892807007,11.935527038574218,0.0,0.0,baseline,0,0,nan,nan,nan,nan
3,10,10.752332925796509,11.952334117889404,0.0,0.0,baseline,0,0,nan,nan,nan,nan
4,10,10.769930601119995,11.96993179321289,0.0,0.0,baseline,0,0,nan,nan,nan,nan
5,10,10.786710500717163,11.986712646484374,0.0,0.0,baseline,0,0,nan,nan,nan,nan
6,10,10.80344820022583,12.003449630737304,0.0,0.0,baseline,0,0,nan,nan,nan,nan
7,10,10.819767951965332,12.019769144058227,0.0,0.0,baseline,0,0,nan,nan,nan,nan
8,10,10.836222410202026,12.036223602294921,0.684761,0.684761,baseline,0,0,nan,nan,nan,nan
9,10,11.11976432800293,12.319765281677245,0.273529,0.273527,baseline,0,0,nan,nan,nan,nan
10,10,12.318806409835815,13.51880760192871,0.145585,0.145573,baseline,0,0,nan,nan,nan,nan
11,10,13.536357402801514,14.736358594894408,0.467852,0.467855,baseline,0,0,nan,nan,nan,nan
12,10,14.736506223678589,15.936507415771484,0.507212,0.507239,baseline,0,0,nan,nan,nan,nan
13,10,15.936509609222412,17.136510562896728,0.30261,0.302637,baseline,0,0,nan,nan,nan,nan
14,10,17.135627508163452,18.335628938674926,0.400597,0.400637,baseline,0,0,nan,nan,nan,nan
15,10,18.353063344955444,19.55306453704834,0.493042,0.493061,baseline,0,0,nan,nan,nan,nan
16,10,19.55321168899536,20.753212881088256,0.472381,0.472388,baseline,0,0,nan,nan,nan,nan
17,10,20.753225803375244,21.95322699546814,0.341294,0.341284,baseline,0,0,nan,nan,nan,nan
18,10,21.9526264667511,23.152627897262573,0.395759,0.395737,baseline,0,0,nan,nan,nan,nan
19,10,23.169771671295166,24.36977286338806,0.445271,0.445308,baseline,0,0,nan,nan,nan,nan
20,10,24.369900703430176,25.56990213394165,0.252117,0.252133,baseline,0,0,nan,nan,nan,nan
21,10,25.570101261138916,26.77010245323181,0.44094,0.440964,baseline,0,0,nan,nan,nan,nan
22,10,26.769128799438477,27.96912999153137,0.342284,0.342296,baseline,0,0,nan,nan,nan,nan
23,10,27.98661208152771,29.186613273620605,0.299629,0.299643,baseline,0,0,nan,nan,nan,nan
24,10,29.186691284179688,30.386692237854003,0.34765,0.34765,baseline,0,0,nan,nan,nan,nan
25,10,30.3872230052948,31.587223958969116,0.202855,0.202863,feedback,0,0,False,0.0,0.3333333333333333,-0.3333333333333333
26,10,31.58611011505127,32.78611130714417,0.741124,0.741097,feedback,0,0,False,-8.00018692014625e-07,0.3333333333333333,-0.3333333333333333
27,10,32.80386161804199,34.00386281013489,0.42273,0.422726,feedback,0,0,False,1.9375452697296052e-06,0.3333333333333333,-0.3333333333333333
28,10,34.00394797325134,35.20394916534424,0.522708,0.522754,feedback,0,0,False,2.3375546157383164e-06,0.3333333333333333,-0.3333333333333333
29,10,35.20397138595581,36.40397257804871,0.434553,0.434543,feedback,0,0,False,-2.2625528633672916e-06,0.3333333333333333,-0.3333333333333333
30,10,36.42050099372864,37.620502185821536,0.525614,0.525587,feedback,0,0,False,-1.2486402849424654e-06,0.3333333333333333,-0.3333333333333333
31,10,37.62046718597412,38.82046813964844,0.532442,0.532453,feedback,0,0,False,1.4514228006134885e-06,0.3333333333333333,-0.3333333333333333
32,10,38.82050681114197,40.020508003234866,0.455912,0.455914,feedback,0,0,False,3.5139709909233834e-07,0.3333333333333333,-0.3333333333333333
33,10,40.036153078079224,41.23615427017212,0.553712,0.553692,feedback,0,0,False,1.4861458340737153e-07,0.3333333333333333,-0.3333333333333333
34,10,41.237186431884766,42.437187623977664,0.532735,0.53274,feedback,0,0,False,2.148661313450877e-06,0.3333333333333333,-0.3333333333333333
35,10,42.43736457824707,43.63736553192139,0.650895,0.650837,feedback,0,0,False,1.6486496309372288e-06,0.3333333333333333,-0.3333333333333333
36,10,43.63726258277893,44.83726377487183,0.648546,0.648487,feedback,0,0,False,7.448785148057838e-06,0.3333333333333333,-0.3333333333333333
37,10,44.83728265762329,46.03728384971619,0.676704,0.676669,feedback,0,0,False,1.3348923001672314e-05,0.3333333333333333,-0.3333333333333333
38,10,46.05382537841797,47.253826808929446,0.696625,0.696584,feedback,0,0,False,1.6897617026156424e-05,0.3333333333333333,-0.3333333333333333
39,10,47.25424551963806,48.454247665405276,0.745153,0.7451,feedback,0,0,False,2.099771282274832e-05,0.3333333333333333,-0.3333333333333333
40,10,48.454054832458496,49.65405650138855,0.744215,0.744164,feedback,0,0,False,2.629783665735519e-05,0.3333333333333333,-0.3333333333333333
41,10,49.65429759025574,50.85430092811585,0.801557,0.801535,feedback,0,0,False,3.1397955818952196e-05,0.3333333333333333,-0.3333333333333333
42,10,50.870490312576294,52.07049198150635,0.786538,0.786493,feedback,0,0,False,3.362856349148098e-05,0.3333333333333333,-0.3333333333333333
43,10,52.07062911987305,53.270630311965945,0.82147,0.821471,feedback,0,0,False,3.812866863407055e-05,0.3333333333333333,-0.3333333333333333
44,10,53.27074956893921,54.47075076103211,0.823209,0.823166,feedback,0,0,False,3.802866629757686e-05,0.3333333333333333,-0.3333333333333333
45,10,54.47072768211365,55.670728874206546,0.801232,0.801172,feedback,0,0,False,4.232876676716784e-05,0.3333333333333333,-0.3333333333333333
46,10,55.68731451034546,56.88731546401978,0.813052,0.812962,feedback,0,0,False,4.84122422377168e-05,0.3333333333333333,-0.3333333333333333
47,10,56.88761925697327,58.087620449066165,0.829628,0.829559,feedback,0,0,False,5.741245252290716e-05,0.3333333333333333,-0.3333333333333333
48,10,58.087531328201294,59.28753252029419,0.754053,0.753997,feedback,0,0,False,6.431261374154904e-05,0.3333333333333333,-0.3333333333333333
49,10,59.286508083343506,60.48650975227356,0.813897,0.813844,feedback,0,0,False,6.99127445856599e-05,0.3333333333333333,-0.3333333333333333
50,10,60.50402021408081,61.70402140617371,0.766682,0.766624,feedback,0,0,False,7.528648125130347e-05,0.3333333333333333,-0.3333333333333333
51,10,61.70411539077759,62.904116582870486,0.761298,0.761274,feedback,0,0,False,8.108661676842414e-05,0.3333333333333333,-0.3333333333333333
52,10,62.90426540374756,64.10426659584046,0.747751,0.747719,feedback,0,0,False,8.348667284447653e-05,0.3333333333333333,-0.3333333333333333
53,10,64.10331678390503,65.30331797599793,0.727659,0.727607,feedback,0,0,False,8.668674761254573e-05,0.3333333333333333,-0.3333333333333333
54,10,65.32115483283997,66.52115697860718,0.683346,0.683323,feedback,0,0,False,9.195909302034355e-05,0.3333333333333333,-0.3333333333333333
55,10,66.52083325386047,67.72083444595337,0.692851,0.692791,feedback,0,0,False,9.425914675989054e-05,0.3333333333333333,-0.3333333333333333
56,10,67.72081446647644,68.92081542015076,0.666612,0.666569,feedback,0,0,False,0.00010025928695001029,0.3333333333333333,-0.3333333333333333
57,10,68.91995358467102,70.11995525360108,0.597043,0.597032,feedback,0,0,False,0.00010455938741960078,0.3333333333333333,-0.3333333333333333
58,10,70.13749718666077,71.33749885559082,0.5988,0.598752,feedback,0,0,False,0.00010567469125586542,0.3333333333333333,-0.3333333333333333
59,10,71.33750987052917,72.53751106262207,0.593925,0.593892,feedback,0,0,False,0.0001104748034079702,0.3333333333333333,-0.3333333333333333
60,10,72.5375189781189,73.7375201702118,0.542869,0.542869,feedback,0,0,False,0.00011377488051254479,0.3333333333333333,-0.3333333333333333
61,10,73.73677325248718,74.93677444458008,0.519032,0.51904,feedback,0,0,False,0.00011377488051254479,0.3333333333333333,-0.3333333333333333
62,10,74.9541368484497,76.1541380405426,0.510423,0.510447,feedback,0,0,False,0.00011296375044981641,0.3333333333333333,-0.3333333333333333
63,10,76.17004418373108,77.37004537582398,0.475782,0.475796,feedback,0,0,False,0.00011053036026159662,0.3333333333333333,-0.3333333333333333
