id,run,feedback_on,question_text,response,rt
sub-001,1,Feedback,How often were you using the mental noting practice?,4,
sub-001,1,Feedback,How often did you check the position of the ball?,5,
sub-001,1,Feedback,How difficult was it to apply mental noting?,5,
sub-001,1,Feedback,How calm do you feel right now?,5,
